"","YEAR","Region","Country","LOC","Block","HYBRID","Pre.commercial.name","Commercial.name","Family.relatedness","density","mean_yield","Comment","NEW.LOC","NEW.Block","YE"
"104",2016,"Early central East","Poland","POLAND3","1","RICARDINIO","RICARDINIO","RICARDINIO","",65,12.64102564,"","POLAND3","1",13.5919846058
"105",2016,"Early central East","Poland","POLAND3","1","RICARDINIO","RICARDINIO","RICARDINIO","",80,13.94090909,"","POLAND3","1",13.5919846058
"106",2016,"Early central East","Poland","POLAND3","1","RICARDINIO","RICARDINIO","RICARDINIO","",95,14.63902439,"","POLAND3","1",13.5919846058
"107",2016,"Early central East","Poland","POLAND3","1","RICARDINIO","RICARDINIO","RICARDINIO","",110,15.6974359,"","POLAND3","1",13.5919846058
"108",2016,"Early central East","Poland","POLAND3","2","AMBROSINI","AMBROSINI","AMBROSINI","",50,10.0875,"","POLAND3","2",13.53496530256
"109",2016,"Early central East","Poland","POLAND3","2","AMBROSINI","AMBROSINI","AMBROSINI","",65,11.36052632,"","POLAND3","2",13.53496530256
"110",2016,"Early central East","Poland","POLAND3","2","AMBROSINI","AMBROSINI","AMBROSINI","",80,13.06904762,"","POLAND3","2",13.53496530256
"111",2016,"Early central East","Poland","POLAND3","2","AMBROSINI","AMBROSINI","AMBROSINI","",95,13.90243902,"","POLAND3","2",13.53496530256
"112",2016,"Early central East","Poland","POLAND3","2","AMBROSINI","AMBROSINI","AMBROSINI","",110,14.00487805,"","POLAND3","2",13.53496530256
"113",2016,"Early central East","Poland","POLAND3","2","DKC2931","EL3023","DKC2931","Female Group 25",50,9.578947368,"","POLAND3","2",13.620782993
"114",2016,"Early central East","Poland","POLAND3","2","DKC2931","EL3023","DKC2931","Female Group 25",65,10.4025641,"","POLAND3","2",13.620782993
"115",2016,"Early central East","Poland","POLAND3","2","DKC2931","EL3023","DKC2931","Female Group 25",80,11.71081081,"","POLAND3","2",13.620782993
"116",2016,"Early central East","Poland","POLAND3","2","DKC2931","EL3023","DKC2931","Female Group 25",95,13.1675,"","POLAND3","2",13.620782993
"117",2016,"Early central East","Poland","POLAND3","2","DKC2931","EL3023","DKC2931","Female Group 25",110,13.27368421,"","POLAND3","2",13.620782993
"118",2016,"Early central East","Poland","POLAND3","2","DKC2972","EQ2942","DKC2972","Female Group 24",50,10.66046512,"","POLAND3","2",13.48970071256
"119",2016,"Early central East","Poland","POLAND3","2","DKC2972","EQ2942","DKC2972","Female Group 24",65,12.10952381,"","POLAND3","2",13.48970071256
"120",2016,"Early central East","Poland","POLAND3","2","DKC2972","EQ2942","DKC2972","Female Group 24",80,13.55263158,"","POLAND3","2",13.48970071256
"121",2016,"Early central East","Poland","POLAND3","2","DKC2972","EQ2942","DKC2972","Female Group 24",95,14.265,"","POLAND3","2",13.48970071256
"122",2016,"Early central East","Poland","POLAND3","2","DKC2972","EQ2942","DKC2972","Female Group 24",110,14.1,"","POLAND3","2",13.48970071256
"123",2016,"Early central East","Poland","POLAND3","2","DKC3050","EN2930","DKC3050","Female Group 31",50,12.4,"","POLAND3","2",13.35314133356
"124",2016,"Early central East","Poland","POLAND3","2","DKC3050","EN2930","DKC3050","Female Group 31",65,13.3875,"","POLAND3","2",13.35314133356
"125",2016,"Early central East","Poland","POLAND3","2","DKC3050","EN2930","DKC3050","Female Group 31",80,14.58974359,"","POLAND3","2",13.35314133356
"126",2016,"Early central East","Poland","POLAND3","2","DKC3050","EN2930","DKC3050","Female Group 31",95,15.48571429,"","POLAND3","2",13.35314133356
"127",2016,"Early central East","Poland","POLAND3","2","DKC3050","EN2930","DKC3050","Female Group 31",110,15.65263158,"","POLAND3","2",13.35314133356
"128",2016,"Early central East","Poland","POLAND3","2","DKC3361","EP3361","DKC3361","Female Group 9",50,11.32857143,"","POLAND3","2",13.44870313836
"129",2016,"Early central East","Poland","POLAND3","2","DKC3361","EP3361","DKC3361","Female Group 9",65,12.12682927,"","POLAND3","2",13.44870313836
"130",2016,"Early central East","Poland","POLAND3","2","DKC3361","EP3361","DKC3361","Female Group 9",80,14.03684211,"","POLAND3","2",13.44870313836
"131",2016,"Early central East","Poland","POLAND3","2","DKC3361","EP3361","DKC3361","Female Group 9",95,14.41025641,"","POLAND3","2",13.44870313836
"132",2016,"Early central East","Poland","POLAND3","2","DKC3361","EP3361","DKC3361","Female Group 9",110,14.835,"","POLAND3","2",13.44870313836
"133",2016,"Early central East","Poland","POLAND3","2","DKC3441","EM3456","DKC3441","Female Group 31",50,12.42439024,"","POLAND3","2",13.36276671856
"134",2016,"Early central East","Poland","POLAND3","2","DKC3441","EM3456","DKC3441","Female Group 31",65,13.37435897,"","POLAND3","2",13.36276671856
"135",2016,"Early central East","Poland","POLAND3","2","DKC3441","EM3456","DKC3441","Female Group 31",80,14.80810811,"","POLAND3","2",13.36276671856
"136",2016,"Early central East","Poland","POLAND3","2","DKC3441","EM3456","DKC3441","Female Group 31",95,15.25641026,"","POLAND3","2",13.36276671856
"137",2016,"Early central East","Poland","POLAND3","2","DKC3441","EM3456","DKC3441","Female Group 31",110,15.17105263,"","POLAND3","2",13.36276671856
"138",2016,"Early central East","Poland","POLAND3","2","DKC3452","EN3357","DKC3452","Female Group 32",50,11.06315789,"Drop - can be excluded","POLAND3","2",13.39547381176
"139",2016,"Early central East","Poland","POLAND3","2","DKC3452","EN3357","DKC3452","Female Group 32",65,13.10555556,"Drop - can be excluded","POLAND3","2",13.39547381176
"140",2016,"Early central East","Poland","POLAND3","2","DKC3452","EN3357","DKC3452","Female Group 32",80,14.67142857,"Drop - can be excluded","POLAND3","2",13.39547381176
"141",2016,"Early central East","Poland","POLAND3","2","DKC3452","EN3357","DKC3452","Female Group 32",95,15.1,"Drop - can be excluded","POLAND3","2",13.39547381176
"142",2016,"Early central East","Poland","POLAND3","2","DKC3452","EN3357","DKC3452","Female Group 32",110,15.45882353,"Drop - can be excluded","POLAND3","2",13.39547381176
"143",2016,"Early central East","Poland","POLAND3","2","DKC3568","EP3565","DKC3568","Female Group 28",50,11.3125,"","POLAND3","2",13.46727423956
"144",2016,"Early central East","Poland","POLAND3","2","DKC3568","EP3565","DKC3568","Female Group 28",65,12.72,"","POLAND3","2",13.46727423956
"145",2016,"Early central East","Poland","POLAND3","2","DKC3568","EP3565","DKC3568","Female Group 28",80,13.52368421,"","POLAND3","2",13.46727423956
"146",2016,"Early central East","Poland","POLAND3","2","DKC3568","EP3565","DKC3568","Female Group 28",95,14.23170732,"","POLAND3","2",13.46727423956
"147",2016,"Early central East","Poland","POLAND3","2","DKC3568","EP3565","DKC3568","Female Group 28",110,14.02105263,"","POLAND3","2",13.46727423956
"148",2016,"Early central East","Poland","POLAND3","2","DKC3579","EQ3569","DKC3579","Female Group 9",50,11.78181818,"","POLAND3","2",13.34024668556
"149",2016,"Early central East","Poland","POLAND3","2","DKC3579","EQ3569","DKC3579","Female Group 9",65,13.36097561,"","POLAND3","2",13.34024668556
"150",2016,"Early central East","Poland","POLAND3","2","DKC3579","EQ3569","DKC3579","Female Group 9",80,14.87857143,"","POLAND3","2",13.34024668556
"151",2016,"Early central East","Poland","POLAND3","2","DKC3579","EQ3569","DKC3579","Female Group 9",95,16.0195122,"","POLAND3","2",13.34024668556
"152",2016,"Early central East","Poland","POLAND3","2","DKC3579","EQ3569","DKC3579","Female Group 9",110,16.11944444,"","POLAND3","2",13.34024668556
"153",2016,"Early central East","Poland","POLAND3","2","EQ3139","EQ3139","EQ3139","Female Group 31",50,11.9952381,"","POLAND3","2",13.37296354456
"154",2016,"Early central East","Poland","POLAND3","2","EQ3139","EQ3139","EQ3139","Female Group 31",65,13.13333333,"","POLAND3","2",13.37296354456
"155",2016,"Early central East","Poland","POLAND3","2","EQ3139","EQ3139","EQ3139","Female Group 31",80,14.87179487,"","POLAND3","2",13.37296354456
"156",2016,"Early central East","Poland","POLAND3","2","EQ3139","EQ3139","EQ3139","Female Group 31",95,15.17674419,"","POLAND3","2",13.37296354456
"157",2016,"Early central East","Poland","POLAND3","2","EQ3139","EQ3139","EQ3139","Female Group 31",110,15.34736842,"","POLAND3","2",13.37296354456
"158",2016,"Early central East","Poland","POLAND3","2","RICARDINIO","RICARDINIO","RICARDINIO","",50,11.02439024,"","POLAND3","2",13.44851274756
"159",2016,"Early central East","Poland","POLAND3","2","RICARDINIO","RICARDINIO","RICARDINIO","",65,12.29142857,"","POLAND3","2",13.44851274756
"160",2016,"Early central East","Poland","POLAND3","2","RICARDINIO","RICARDINIO","RICARDINIO","",80,13.81052632,"","POLAND3","2",13.44851274756
"161",2016,"Early central East","Poland","POLAND3","2","RICARDINIO","RICARDINIO","RICARDINIO","",95,14.36829268,"","POLAND3","2",13.44851274756
"162",2016,"Early central East","Poland","POLAND3","2","RICARDINIO","RICARDINIO","RICARDINIO","",110,15.25238095,"","POLAND3","2",13.44851274756
"163",2016,"Early central East","Russia","6GRU1 L","1","DELITOP","DELITOP","DELITOP","",50,5.5992,"","6GRU1","L1",7.83030031410476
"164",2016,"Early central East","Russia","6GRU1 L","1","DELITOP","DELITOP","DELITOP","",65,6.405,"","6GRU1","L1",7.83030031410476
"165",2016,"Early central East","Russia","6GRU1 L","1","DELITOP","DELITOP","DELITOP","",80,7.44325,"","6GRU1","L1",7.83030031410476
"166",2016,"Early central East","Russia","6GRU1 L","1","DELITOP","DELITOP","DELITOP","",95,7.374714286,"","6GRU1","L1",7.83030031410476
"167",2016,"Early central East","Russia","6GRU1 L","1","DELITOP","DELITOP","DELITOP","",110,7.376,"","6GRU1","L1",7.83030031410476
"168",2016,"Early central East","Russia","6GRU1 L","1","DKC2949","EA3204","DKC2949","Female Group 14",50,4.102428571,"","6GRU1","L1",7.91594952177143
"169",2016,"Early central East","Russia","6GRU1 L","1","DKC2949","EA3204","DKC2949","Female Group 14",65,4.5900625,"","6GRU1","L1",7.91594952177143
"170",2016,"Early central East","Russia","6GRU1 L","1","DKC2949","EA3204","DKC2949","Female Group 14",80,5.327583333,"","6GRU1","L1",7.91594952177143
"171",2016,"Early central East","Russia","6GRU1 L","1","DKC2949","EA3204","DKC2949","Female Group 14",95,5.254,"","6GRU1","L1",7.91594952177143
"172",2016,"Early central East","Russia","6GRU1 L","1","DKC2949","EA3204","DKC2949","Female Group 14",110,5.930923077,"","6GRU1","L1",7.91594952177143
"173",2016,"Early central East","Russia","6GRU1 L","1","DKC2960","EC2907","DKC2960","Female Group 14",50,5.319866667,"","6GRU1","L1",7.87070158569524
"174",2016,"Early central East","Russia","6GRU1 L","1","DKC2960","EC2907","DKC2960","Female Group 14",65,5.836933333,"","6GRU1","L1",7.87070158569524
"175",2016,"Early central East","Russia","6GRU1 L","1","DKC2960","EC2907","DKC2960","Female Group 14",80,6.375666667,"","6GRU1","L1",7.87070158569524
"176",2016,"Early central East","Russia","6GRU1 L","1","DKC2960","EC2907","DKC2960","Female Group 14",95,6.177333333,"","6GRU1","L1",7.87070158569524
"177",2016,"Early central East","Russia","6GRU1 L","1","DKC2960","EC2907","DKC2960","Female Group 14",110,6.246230769,"","6GRU1","L1",7.87070158569524
"178",2016,"Early central East","Russia","6GRU1 L","1","DKC3203","EG3222","DKC3203","Female Group 18",50,5.019076923,"","6GRU1","L1",7.8657512502
