"","Year","Hybrid","X","intercept","density","density.2","YE","YE.density","R.squared","min","max","Plot_Num","Site_Num"
"1",2015,"DKC5032YG",21,-164.081530701799,1.89426087031773,-0.000820660633333245,12.0883273121275,-0.123474848551123,0.685966245260339,13.7965278827273,14.0223289803636,10,1
"2",2015,"DKC5632",16,33.9144981938583,-0.224903011045784,-9.61143492063421e-05,-1.68574558245943,0.0188688811768642,0.297274557605706,13.6221711109,14.0228899841818,20,2
"3",2015,"DKC5830",13,29.8610263657798,-0.297205235465918,-0.00100798276129032,-1.70340390754474,0.0358755510188521,0.833811158996768,13.1425891160299,15.2093236261194,9,1
"4",2015,"DKC6050",1,16.9560133493517,-0.189716683285585,0.000709521063961958,0.0226229465740009,0.00617597923629284,0.296818242384925,13.1487521294545,16.4126162092727,19,2
"5",2015,"DKC6340",2,3.04030368134036,-0.056977705400999,-9.37827461831438e-05,0.659360468424644,0.00613044621888673,0.680489014988976,13.271265230209,16.4911097992727,27,3
"6",2015,"DKC6351",17,119.295722676284,-0.620676463535895,-0.000653050174603172,-8.27228080424844,0.0562392762085716,0.650684675813008,13.2362766662333,13.945401648,20,2
"7",2015,"DKC6442",22,-248.349527633715,1.72897676155344,-0.000437608007936545,18.2914938393899,-0.115679735089393,0.895321934677591,13.8261193787273,13.9662521045455,10,1
"8",2015,"DKC6532",18,-241.552607747968,2.77569214003296,-0.000943026455555568,17.7391720114459,-0.187609345748067,0.239004264281702,13.7894249995667,13.8960555556667,10,1
"9",2015,"DKC6630",19,43.8836217739316,-0.735713129773229,-0.000289527931746045,-2.5219886714015,0.058694582648799,0.660417858539741,13.6279211105667,13.9489207970909,20,2
"10",2015,"DKC6631YG",23,114.09849405865,-0.776249495851177,-0.000462728258730164,-7.78456710690753,0.0653201657261129,0.935401087818264,13.6750954330909,13.9473318203636,10,1
"11",2015,"DKC6650",3,10.0904233102997,-0.0598564934910362,-0.000226470465852314,0.0835646356939229,0.00930731149494356,0.589879164938119,13.1356313045373,16.3638599732727,17,2
"12",2015,"DKC6664",4,31.9139628036579,-0.205202431043461,-0.000421633338995466,-1.50834482216649,0.0214620570463179,0.331452551502068,12.9577016347576,16.2811004752727,39,4
"13",2015,"DKC6728",5,-6.96234201565858,0.212295133892526,-0.000444252750671422,1.17201797580076,-0.00840446822287253,0.218651252830052,13.1658974229394,16.4933941816364,29,3
"14",2015,"DKC6729YG",24,186.982547304222,-2.00276625773748,-9.91100825396409e-05,-12.7804066382642,0.149174473414975,0.644972984500525,13.6404216698182,13.8473995534545,10,1
"15",2015,"DKC6752",6,-29.1603707927403,0.342871388505484,-0.0012689251883662,1.77125376099936,-0.00299445080340175,0.777180036721165,13.3663581863582,16.5555986436364,18,2
"16",2015,"DKC6795",7,-6.94691847932095,0.0610201360674302,-0.000313061109430631,1.05589417879421,0.00139246954796396,0.72572009800407,13.332230484,16.5648163427273,19,2
"17",2015,"DKC6815",8,-25.0728094966909,0.376754977320132,-0.000868471612662051,2.07918765893934,-0.0132638549143204,0.582804736473022,13.2165886814242,16.5158082676364,19,2
"18",2015,"DKC7050",9,5.86550120467277,-0.0746218395624546,-0.000790536319102233,-0.00724127771003398,0.0162316250105034,0.692613376762273,13.3193150312727,16.4378183407273,19,2
"19",2015,"EN6910",10,27.228164107443,-0.313879096636547,0.000423676904249468,-0.677128249591142,0.0162039025854737,0.421517646807425,13.2537050108182,16.5462566523636,19,2
"20",2015,"EP5716",14,-32.114716991138,-0.0935464846256229,-0.00125087871111113,2.33133467617494,0.0239180865883898,0.965962014178294,13.5116592411818,15.2623432698529,9,1
"21",2015,"EP6739",20,24.2153913336261,0.0113277342207952,0.000242068220634917,-0.70324835907146,-0.00289530487416688,0.478562562675448,13.4094377772333,13.9480637163636,20,2
"22",2015,"EP6741",11,9.44897505069403,-0.0467395670881712,-7.86816876185781e-05,0.234339362405379,0.00447259548846269,0.155311452846109,13.0810426688485,16.5962265990909,39,4
"23",2015,"P1547",15,-40.2961988573945,0.606371399419237,-0.000662008655555546,3.39231159291145,-0.033703409994676,0.704378193450837,13.193341714303,15.5088421640299,10,1
"24",2015,"P1758",12,-2.07388474757231,0.0542157435170569,-0.000188755732177851,0.793994897683932,0.00155131976781984,0.756343985070898,13.1798667732424,16.4460272150909,19,2
"25",2016,"AMBROSINI",25,0.178148714448311,0.065132923317746,-0.00101990777671957,0.0824863180827682,0.0121521330903489,0.993278951028951,9.4295904626383,13.665546371,15,2
"26",2016,"DELITOP",36,798.390193430404,-1.77770108317376,-0.000708250522698438,-101.934415469528,0.245351585292102,0.899204798545877,7.83030031410476,7.83182304747619,10,1
"27",2016,"DKC2931",26,-7.36395742597258,0.0863878465081965,-0.000138724845534875,1.18038394978071,-0.00163720834579343,0.930657075676,9.41234674280851,24.5596601458667,70,8
"28",2016,"DKC2949",37,16.8534806032852,-0.0455429105872707,-0.000232443017826248,-1.9242583124094,0.0135983273909909,0.893866170542862,6.69238271971963,7.91594952177143,17,2
"29",2016,"DKC2960",38,2.58936955836856,0.0988442361560263,-0.000525651663881791,-0.15265234438537,0.000313593987770145,0.449950764224727,6.2909710465,7.87070158569524,26,2
"30",2016,"DKC2963",129,-1.06747591078143,-0.0632051393755532,0.000568187172105625,1.1314288399509,-0.000478707662038218,0.939632836056366,13.6544958464384,24.5161562368,49,6
"31",2016,"DKC2972",27,-5.76906772619706,0.117903219628338,-0.000325873614074072,0.888671245602665,-0.000266935678573693,0.908624696614911,9.306675236,13.6223521438,15,2
