YEAR,Region,Country,LOC,Block,HYBRID,Pre-commercial name,Commercial name,Family relatedness,density,mean_yield,Comment,NEW LOC,NEW Block
2016,Early central East,Czech Republic,CZECH2,1,EQ3139,EQ3139,EQ3139,Female Group 31,95,10.97785714,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,EQ3139,EQ3139,EQ3139,Female Group 31,110,11.32235294,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,RICARDINIO,RICARDINIO,RICARDINIO,,95,9.305,,CZECH2,1
2016,Early central East,Czech Republic,CZECH2,1,RICARDINIO,RICARDINIO,RICARDINIO,,110,10.246875,,CZECH2,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,50,10.56341463,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,65,12.30789474,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,80,13.37380952,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,95,14.28536585,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,AMBROSINI,AMBROSINI,AMBROSINI,,110,14.47567568,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,50,10.23953488,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,65,11.25128205,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,80,12.27435897,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,95,13.6375,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2931,EL3023,DKC2931,Female Group 25,110,14.55405405,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,50,11.04736842,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,65,12.75135135,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,80,13.89285714,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,95,14.5025,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC2972,EQ2942,DKC2972,Female Group 24,110,14.97179487,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,50,12.34545455,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,65,13.1974359,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,80,14.88333333,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,95,14.53953488,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3050,EN2930,DKC3050,Female Group 31,110,15.7,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,50,10.99302326,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,65,12.26285714,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,80,14.0825,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,95,14.32564103,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3361,EP3361,DKC3361,Female Group 9,110,14.76944444,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,50,12.39285714,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,65,13.68055556,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,80,14.41794872,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,95,14.68409091,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3441,EM3456,DKC3441,Female Group 31,110,15.51315789,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,50,11.37045455,Drop - can be excluded,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,65,13.2,Drop - can be excluded,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,80,14.68780488,Drop - can be excluded,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,95,15.165,Drop - can be excluded,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3452,EN3357,DKC3452,Female Group 32,110,15.675,Drop - can be excluded,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,50,11.34545455,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,65,12.56842105,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,80,13.56315789,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,95,13.88604651,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3568,EP3565,DKC3568,Female Group 28,110,14.28947368,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,50,11.72105263,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,65,13.78055556,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,80,14.98684211,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,95,15.02380952,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,DKC3579,EQ3569,DKC3579,Female Group 9,110,15.77567568,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,50,12.34545455,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,65,13.385,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,80,14.3525,,POLAND3,1
2016,Early central East,Poland,POLAND3,1,EQ3139,EQ3139,EQ3139,Female Group 31,95,14.82093023,,POLAND3,1
